occu,ratepriv,ratecaid,varpriv65,varpriv66,varpriv67,varpriv68,varpriv69,varpriv70,varpriv71,varpriv72,varpriv73,varpriv74,varpriv75,varpriv76,varpriv77,varpriv78,varpriv79,varpriv80,varpriv81,varpriv82,varpriv83,varpriv84,varpriv85,varpriv86,varpriv87,varpriv88,varpriv89,varpriv90,varpriv91,varpriv92,varpriv93,varpriv94,varpriv95,varpriv96,varpriv97,varpriv98,varpriv99,varcaid65,varcaid66,varcaid67,varcaid68,varcaid69,varcaid70,varcaid71,varcaid72,varcaid73,varcaid74,varcaid75,varcaid76,varcaid77,varcaid78,varcaid79,varcaid80,varcaid81,varcaid82,varcaid83,varcaid84,varcaid85,varcaid86,varcaid87,varcaid88,varcaid89,varcaid90,varcaid91,varcaid92,varcaid93,varcaid94,varcaid95,varcaid96,varcaid97,varcaid98,varcaid99,covar65,covar66,covar67,covar68,covar69,covar70,covar71,covar72,covar73,covar74,covar75,covar76,covar77,covar78,covar79,covar80,covar81,covar82,covar83,covar84,covar85,covar86,covar87,covar88,covar89,covar90,covar91,covar92,covar93,covar94,covar95,covar96,covar97,covar98,covar99
.64999998,.029620163,.01911388,2.5451000e-06,1.3907488e-06,1.0784792e-06,9.0462345e-07,9.5207020e-07,9.9959618e-07,8.4647911e-07,7.7082774e-07,8.6219717e-07,7.7595394e-07,7.7474789e-07,7.4403039e-07,7.2641893e-07,7.5257242e-07,6.9164719e-07,7.1257830e-07,6.7759248e-07,6.9777735e-07,7.0483037e-07,6.9591800e-07,6.8199091e-07,6.7326170e-07,6.7419722e-07,6.3702021e-07,6.3276457e-07,6.3526937e-07,6.1996803e-07,6.1655732e-07,6.0848964e-07,5.8934421e-07,5.8281842e-07,5.8165705e-07,5.7171195e-07,5.5737962e-07,5.2545471e-07,2.3790149e-06,8.5989416e-07,5.5627453e-07,4.5523217e-07,5.3936458e-07,3.8409476e-07,2.2675341e-07,1.5949742e-07,2.3619808e-07,1.2724853e-07,1.4585547e-07,1.0277523e-07,5.8752459e-08,5.8178898e-08,8.9444807e-09,4.8637180e-08,9.7711954e-09,1.7987297e-08,2.9211666e-08,1.0329725e-08,3.1544600e-09,-6.8520443e-09,-1.4561745e-08,-1.6455074e-08,-2.1239272e-08,-1.3429196e-08,-1.2780422e-08,-1.7116131e-08,-2.1072214e-08,-2.1207883e-08,-1.9160549e-08,-1.7582671e-08,-1.2348531e-08,-8.9826200e-09,-1.2035114e-08,-1.7601409e-06,-6.3018780e-07,-3.2127400e-07,-1.9770565e-07,-2.8400868e-07,-2.8709209e-07,-1.1149770e-07,-5.3821438e-08,-1.3603696e-07,-8.4327418e-08,-7.3085111e-08,-6.1861613e-08,-4.0380254e-08,-5.6149812e-08,-1.2575424e-08,-3.5190411e-08,-5.0720490e-09,-3.0877924e-08,-4.2124000e-08,-4.2115794e-08,-2.9806426e-08,-2.7084088e-08,-3.7042135e-08,-4.9475948e-09,-7.4443860e-09,-1.7151386e-08,-5.1172289e-09,-9.0660341e-09,-3.4095466e-09,1.1978123e-08,1.8496200e-08,1.3088949e-08,2.1917955e-08,3.2860022e-08,6.5498106e-08
.66000003,.029454935,.019656919,1.3907488e-06,3.1599632e-06,1.2050966e-06,1.0145662e-06,9.9837484e-07,1.1574033e-06,9.3823525e-07,9.4905550e-07,8.4279850e-07,7.8381396e-07,8.5810314e-07,8.0021266e-07,7.4484495e-07,8.1872122e-07,7.3922877e-07,7.3781462e-07,7.3844177e-07,6.9036275e-07,7.3545402e-07,7.1622225e-07,7.1024863e-07,7.0178697e-07,7.2523306e-07,6.7832394e-07,6.6979277e-07,6.6585068e-07,6.5755609e-07,6.5473495e-07,6.4622003e-07,6.2513664e-07,6.1885680e-07,6.1898908e-07,6.0839295e-07,5.9339857e-07,5.5693192e-07,8.5989416e-07,2.6352495e-06,6.4095349e-07,4.6615509e-07,4.9150356e-07,4.4383941e-07,2.4429968e-07,2.4611867e-07,1.6518067e-07,5.4729799e-08,1.7552682e-07,8.8270660e-08,4.0994120e-08,7.8965201e-08,3.4288981e-09,1.8027633e-08,2.8723827e-08,-3.5424510e-08,2.7349843e-08,3.6195993e-09,-1.7766252e-09,-3.0949381e-09,3.9403933e-09,-5.8791305e-09,-1.6447972e-08,-1.5366028e-08,-8.8825436e-09,-1.1380657e-08,-1.5960881e-08,-1.7918483e-08,-1.5865911e-08,-1.2202909e-08,-5.9295289e-09,-4.3488320e-09,-8.4761229e-09,-5.8382454e-07,-2.3071286e-06,-4.2304001e-07,-2.3965808e-07,-2.2812415e-07,-3.6984730e-07,-1.2885488e-07,-1.5100422e-07,-7.0511682e-08,-1.6960259e-08,-1.0500124e-07,-5.4300337e-08,-2.0888217e-08,-7.8011290e-08,-4.8585114e-09,-1.5423183e-08,-2.8267360e-08,1.9417836e-08,-3.9916600e-08,-3.2062665e-08,-2.7949884e-08,-2.2949502e-08,-5.1853910e-08,-1.3426432e-08,-1.1384065e-08,-1.2992496e-08,-8.7505567e-09,-1.2500716e-08,-6.8111028e-09,1.0026653e-08,1.6727888e-08,9.4710071e-09,1.7503949e-08,3.0173243e-08,6.6268214e-08
.67000002,.026896305,.021135129,1.0784792e-06,1.2050966e-06,1.9980459e-06,9.0988453e-07,9.0210284e-07,9.2138185e-07,8.1770281e-07,7.2693325e-07,7.8603676e-07,8.0793330e-07,7.4496262e-07,7.7818891e-07,7.1070485e-07,7.3098255e-07,7.0300842e-07,7.0222427e-07,6.8287306e-07,6.9636610e-07,6.9625730e-07,6.7384968e-07,6.8767440e-07,6.8147693e-07,6.7643180e-07,6.4183661e-07,6.3341963e-07,6.3048100e-07,6.1880581e-07,6.1506057e-07,6.1079373e-07,5.8981919e-07,5.8468720e-07,5.8146583e-07,5.7266953e-07,5.5965467e-07,5.2727279e-07,5.5627453e-07,6.4095349e-07,1.6073595e-06,3.8681813e-07,3.9104947e-07,2.4066026e-07,2.0579087e-07,8.3026748e-08,1.3264747e-07,1.2666959e-07,1.2823625e-07,1.4402701e-07,5.9093566e-08,5.4739260e-08,4.8907779e-08,4.6233108e-08,3.3319768e-08,2.2684649e-08,2.1918941e-08,-8.2829166e-09,1.2493424e-08,1.2365954e-08,-5.4628755e-09,-5.4418861e-09,-1.9180630e-08,-1.8353832e-08,-1.6285979e-08,-2.0030235e-08,-1.9940417e-08,-2.1946017e-08,-1.9277891e-08,-1.9465634e-08,-1.3414188e-08,-1.1786402e-08,-1.4036824e-08,-3.0011915e-07,-4.1138071e-07,-1.2060619e-06,-1.2889190e-07,-1.6739077e-07,-1.7112873e-07,-8.1737639e-08,1.0609414e-08,-5.4227822e-08,-1.0659451e-07,-3.9035662e-08,-9.9146718e-08,-3.3320354e-08,-4.3801961e-08,-3.7813006e-08,-3.5498232e-08,-2.3858169e-08,-3.7960426e-08,-4.1014047e-08,-2.3378947e-08,-4.3245958e-08,-4.0796998e-08,-4.5347370e-08,-1.2747353e-08,-7.9824982e-09,-1.2676905e-08,-2.4528490e-09,-4.9967488e-09,-2.8775031e-09,1.3773257e-08,1.9904810e-08,1.6292455e-08,2.4211513e-08,3.7079989e-08,7.1704882e-08
.68000001,.029064612,.020526806,9.0462345e-07,1.0145662e-06,9.0988453e-07,1.7142282e-06,9.2162850e-07,8.7616354e-07,7.9644013e-07,8.0048920e-07,8.1395706e-07,8.1094430e-07,7.5836749e-07,7.3893352e-07,7.3202182e-07,7.2331244e-07,7.2128205e-07,7.0460857e-07,6.9165839e-07,6.9868128e-07,7.0127317e-07,6.9049355e-07,6.8015277e-07,6.7661762e-07,6.8286261e-07,6.4771626e-07,6.4521231e-07,6.4365310e-07,6.2895401e-07,6.2315962e-07,6.2010037e-07,6.0079509e-07,5.9483546e-07,5.9417562e-07,5.8344671e-07,5.7040711e-07,5.4067448e-07,4.5523217e-07,4.6615509e-07,3.8681813e-07,1.4013276e-06,4.5305060e-07,3.4453615e-07,2.5184983e-07,2.2212132e-07,2.3583193e-07,1.4981904e-07,1.4357374e-07,9.4601013e-08,8.8156860e-08,5.2703072e-08,5.6216553e-08,5.7117212e-08,4.1496868e-08,1.9554136e-08,1.0419530e-08,1.6987899e-09,-6.3684276e-09,-2.0520812e-09,-8.1829565e-09,-1.5677442e-08,-1.9100259e-08,-1.6817168e-08,-2.1310214e-08,-2.5938407e-08,-2.5934662e-08,-2.6539139e-08,-2.4120641e-08,-2.1929443e-08,-1.7414594e-08,-1.4508239e-08,-1.4982373e-08,-2.3799105e-07,-3.4749070e-07,-2.5639881e-07,-1.0398260e-06,-2.2390749e-07,-2.1918936e-07,-1.1203255e-07,-1.1101612e-07,-1.3411085e-07,-1.2847980e-07,-6.1305208e-08,-4.5311470e-08,-5.1566850e-08,-3.2196628e-08,-3.7356955e-08,-3.1228637e-08,-1.4274326e-08,-2.8052140e-08,-3.0713448e-08,-2.9719860e-08,-1.9972294e-08,-2.2433804e-08,-3.7722334e-08,-4.2352744e-09,-8.3425036e-09,-1.3327751e-08,1.0165705e-09,-2.9871267e-10,9.1002506e-10,1.6283805e-08,2.2451831e-08,1.6914097e-08,2.6671943e-08,3.8219103e-08,7.0563651e-08
.69,.027938133,.019674718,9.5207020e-07,9.9837484e-07,9.0210284e-07,9.2162850e-07,1.7157009e-06,8.3011389e-07,7.9528115e-07,8.6907312e-07,8.1758844e-07,7.7877610e-07,7.4200960e-07,7.4088206e-07,7.2355095e-07,7.4918893e-07,7.0170148e-07,6.8509513e-07,6.7926214e-07,6.7251415e-07,6.8012037e-07,6.8114662e-07,6.7492886e-07,6.7848669e-07,6.8021666e-07,6.3855146e-07,6.4151811e-07,6.3513858e-07,6.1726962e-07,6.1647307e-07,6.0916648e-07,5.9092275e-07,5.8542633e-07,5.8375821e-07,5.7396699e-07,5.6248228e-07,5.3193486e-07,5.3936458e-07,4.9150356e-07,3.9104947e-07,4.5305060e-07,1.5789656e-06,4.0706777e-07,3.1903858e-07,3.9894496e-07,3.1924989e-07,1.8266782e-07,1.8656354e-07,1.4342602e-07,1.1370354e-07,1.1099123e-07,6.6697325e-08,6.4902231e-08,5.4730169e-08,1.7084593e-08,2.1746981e-08,9.6928012e-09,1.0861085e-08,1.6280580e-08,5.3208193e-09,-1.1266484e-08,-1.5808309e-08,-1.5894859e-08,-2.4627676e-08,-2.6421420e-08,-3.0361711e-08,-3.0154968e-08,-2.7070927e-08,-2.7108491e-08,-2.1378263e-08,-1.7879735e-08,-2.0390409e-08,-3.0136491e-07,-3.5121025e-07,-2.1658285e-07,-2.7040826e-07,-1.1137867e-06,-2.2720738e-07,-1.4261857e-07,-2.1340772e-07,-1.6656337e-07,-1.1950080e-07,-6.9070545e-08,-7.8516955e-08,-6.2226320e-08,-8.5096403e-08,-3.5911803e-08,-3.0577372e-08,-2.8465774e-08,-1.8413767e-08,-2.7129438e-08,-3.1242180e-08,-3.0488273e-08,-3.9681510e-08,-4.7301672e-08,-5.4603944e-09,-1.2065235e-08,-1.2547996e-08,4.9371138e-09,-7.8314116e-10,4.4990185e-09,1.8744085e-08,2.4796663e-08,2.0633207e-08,2.9229811e-08,4.0276305e-08,7.3828822e-08
.69999999,.028183376,.02051821,9.9959618e-07,1.1574033e-06,9.2138185e-07,8.7616354e-07,8.3011389e-07,1.5771227e-06,8.6517559e-07,8.4085326e-07,7.9290641e-07,8.2641623e-07,7.7454837e-07,7.7417536e-07,7.2445340e-07,7.7357976e-07,7.3487934e-07,7.0661059e-07,6.9249126e-07,7.1159224e-07,6.8197636e-07,6.8381036e-07,6.8460571e-07,6.7998843e-07,6.8646176e-07,6.3662884e-07,6.3456326e-07,6.3355930e-07,6.2411419e-07,6.2077913e-07,6.1306605e-07,5.9398889e-07,5.8627182e-07,5.8611607e-07,5.7452843e-07,5.6145149e-07,5.2979215e-07,3.8409476e-07,4.4383941e-07,2.4066026e-07,3.4453615e-07,4.0706777e-07,1.1776867e-06,3.0279585e-07,3.1591094e-07,2.3654626e-07,1.8611057e-07,1.6480240e-07,1.3288262e-07,8.6105416e-08,1.2542748e-07,8.2159261e-08,6.3342718e-08,4.4058243e-08,3.8612985e-08,3.6858966e-10,3.6036107e-09,1.0186193e-08,2.8234066e-09,1.0825641e-09,-2.0518677e-08,-2.8799541e-08,-2.4028953e-08,-2.3552396e-08,-2.5619144e-08,-3.0897990e-08,-3.1269103e-08,-2.7628298e-08,-2.6873041e-08,-2.2009392e-08,-1.9957684e-08,-2.2288379e-08,-2.4166704e-07,-3.8077326e-07,-1.3421189e-07,-1.3914621e-07,-1.1271438e-07,-8.8701091e-07,-1.4011901e-07,-1.3151192e-07,-9.8703055e-08,-1.2003368e-07,-6.4875259e-08,-7.6439086e-08,-4.5443990e-08,-8.3537302e-08,-5.2987591e-08,-3.6162447e-08,-2.7047470e-08,-4.8524790e-08,-1.5877365e-08,-2.7142763e-08,-3.1202489e-08,-3.0474443e-08,-4.5771799e-08,1.5806217e-09,-2.0022579e-10,-6.2818382e-09,2.7375546e-09,-1.1859341e-09,4.7791309e-09,1.9588034e-08,2.6507994e-08,2.0672946e-08,3.0671508e-08,4.2598629e-08,7.6778541e-08
.70999998,.029389013,.020423997,8.4647911e-07,9.3823525e-07,8.1770281e-07,7.9644013e-07,7.9528115e-07,8.6517559e-07,1.4249875e-06,8.2247527e-07,8.1257537e-07,8.2025520e-07,7.8097776e-07,7.8830203e-07,7.3181570e-07,7.5359969e-07,7.0675662e-07,7.0120240e-07,6.8958252e-07,6.8198506e-07,6.9497128e-07,6.6111670e-07,6.6032732e-07,6.6370256e-07,6.5976263e-07,6.2164179e-07,6.2449072e-07,6.1652747e-07,6.0750853e-07,6.0153013e-07,5.9741262e-07,5.7811809e-07,5.7230676e-07,5.7267386e-07,5.6181744e-07,5.4942723e-07,5.1980220e-07,2.2675341e-07,2.4429968e-07,2.0579087e-07,2.5184983e-07,3.1903858e-07,3.0279585e-07,1.0778790e-06,3.5842615e-07,3.1363749e-07,2.7926291e-07,2.6583027e-07,2.1595476e-07,1.4097020e-07,1.4477625e-07,1.0651508e-07,1.0805261e-07,8.6574431e-08,4.4413756e-08,4.5987967e-08,1.1408356e-08,1.9747461e-08,1.4909357e-08,1.5804751e-09,-1.0462225e-08,-1.4733255e-08,-2.1950099e-08,-2.4163946e-08,-2.6718594e-08,-2.8783647e-08,-3.1252682e-08,-2.3470426e-08,-2.4424279e-08,-1.9584190e-08,-1.6683549e-08,-1.7467579e-08,-1.4630690e-07,-2.3945054e-07,-1.1849125e-07,-1.1918777e-07,-1.1483841e-07,-1.8655521e-07,-7.7337791e-07,-1.5352720e-07,-1.4730132e-07,-1.7563842e-07,-1.2573315e-07,-1.3803167e-07,-8.2259909e-08,-1.0553224e-07,-6.5117696e-08,-6.9518627e-08,-5.5594086e-08,-4.5461846e-08,-5.4888048e-08,-3.1972846e-08,-3.6511512e-08,-3.9209741e-08,-4.3959837e-08,-5.5183786e-09,-1.1826328e-08,-7.1508017e-09,1.8418180e-09,-4.1801171e-10,2.7947509e-09,1.8929503e-08,2.2965251e-08,1.8509738e-08,2.8225021e-08,3.9439769e-08,7.2208465e-08
.72000003,.029723886,.020116854,7.7082774e-07,9.4905550e-07,7.2693325e-07,8.0048920e-07,8.6907312e-07,8.4085326e-07,8.2247527e-07,1.4933713e-06,8.5811126e-07,8.4728219e-07,7.8753152e-07,7.8498778e-07,7.5361720e-07,7.4725187e-07,7.2291249e-07,7.0883578e-07,7.0589221e-07,7.0265145e-07,6.9906866e-07,6.7158106e-07,6.6170099e-07,6.6316551e-07,6.6790915e-07,6.1866035e-07,6.2991148e-07,6.1626042e-07,6.0328318e-07,6.0471456e-07,6.0068737e-07,5.7705546e-07,5.7166375e-07,5.7237980e-07,5.6164066e-07,5.4804440e-07,5.1671128e-07,1.5949742e-07,2.4611867e-07,8.3026748e-08,2.2212132e-07,3.9894496e-07,3.1591094e-07,3.5842615e-07,1.2418913e-06,4.5401879e-07,3.4339351e-07,2.8542871e-07,2.0481113e-07,1.7863162e-07,1.5324440e-07,1.1970107e-07,9.6229314e-08,9.3301246e-08,6.3235646e-08,5.6647462e-08,1.8577481e-08,1.3445854e-08,7.2153412e-09,2.0657045e-09,-2.4035282e-08,-1.4724379e-08,-2.8630652e-08,-3.2118574e-08,-2.8860700e-08,-3.2107771e-08,-3.7980051e-08,-3.1743749e-08,-3.0639221e-08,-2.4726306e-08,-2.3157854e-08,-2.4725697e-08,-7.7111331e-08,-2.4123341e-07,-1.3330931e-08,-1.1157431e-07,-2.0532309e-07,-1.8929713e-07,-1.7916295e-07,-8.8148312e-07,-2.4454314e-07,-2.0880799e-07,-1.2342210e-07,-1.0629556e-07,-1.0608130e-07,-7.9217138e-08,-6.4401242e-08,-5.0370367e-08,-6.0563245e-08,-5.4587105e-08,-5.9653516e-08,-3.2229362e-08,-2.6733810e-08,-3.2923129e-08,-4.4386738e-08,4.3036987e-09,-1.1404243e-08,-1.8749771e-09,9.9612878e-09,1.8766346e-09,5.2020783e-09,2.4753538e-08,2.9623333e-08,2.3185539e-08,3.1967517e-08,4.4626212e-08,7.8279847e-08
.73000002,.029445238,.020349056,8.6219717e-07,8.4279850e-07,7.8603676e-07,8.1395706e-07,8.1758844e-07,7.9290641e-07,8.1257537e-07,8.5811126e-07,1.3658267e-06,8.6915014e-07,8.5924165e-07,8.3268719e-07,7.7584019e-07,7.8041296e-07,7.4177893e-07,7.6493450e-07,7.0733319e-07,7.3878459e-07,7.1386955e-07,6.8663718e-07,6.8776177e-07,6.8677645e-07,6.8314830e-07,6.3975392e-07,6.5005372e-07,6.3926063e-07,6.2381662e-07,6.2112173e-07,6.2057103e-07,5.9748504e-07,5.9360622e-07,5.9391277e-07,5.8080650e-07,5.6773501e-07,5.3738387e-07,2.3619808e-07,1.6518067e-07,1.3264747e-07,2.3583193e-07,3.1924989e-07,2.3654626e-07,3.1363749e-07,4.5401879e-07,9.7966654e-07,3.7033851e-07,3.8670353e-07,3.1718139e-07,2.2203928e-07,2.4170348e-07,2.0268044e-07,1.8943055e-07,1.0215864e-07,9.9826366e-08,6.5360851e-08,2.9001054e-08,3.8848089e-08,2.3145473e-08,1.4293835e-08,-1.7504032e-08,-8.5687919e-09,-2.1642155e-08,-2.6169710e-08,-2.7892820e-08,-2.6735105e-08,-3.3473746e-08,-2.6255119e-08,-2.5864404e-08,-2.2124469e-08,-2.0351912e-08,-2.1649802e-08,-1.8277684e-07,-1.6098453e-07,-9.1068962e-08,-1.3786754e-07,-1.7163690e-07,-1.2192157e-07,-1.7719455e-07,-2.1831006e-07,-7.2271092e-07,-2.4139442e-07,-2.1518753e-07,-1.9414283e-07,-1.3140040e-07,-1.3188217e-07,-1.0307429e-07,-1.2141716e-07,-5.2795063e-08,-8.0215884e-08,-5.7124971e-08,-3.6856264e-08,-4.4964477e-08,-4.1428471e-08,-4.9594380e-08,-4.3188213e-09,-1.9271653e-08,-1.2198424e-08,3.4743270e-09,3.3535766e-10,-1.7968029e-09,1.8501865e-08,2.0735126e-08,1.5454626e-08,2.7236570e-08,3.9430951e-08,7.2907852e-08
.74000001,.029103918,.020492405,7.7595394e-07,7.8381396e-07,8.0793330e-07,8.1094430e-07,7.7877610e-07,8.2641623e-07,8.2025520e-07,8.4728219e-07,8.6915014e-07,1.3929100e-06,8.1608135e-07,7.9914275e-07,7.4034091e-07,7.4299373e-07,7.2543605e-07,7.1222200e-07,6.7209430e-07,7.1307204e-07,7.0426319e-07,6.8377739e-07,6.7904131e-07,6.6743354e-07,6.7016981e-07,6.3470645e-07,6.2679686e-07,6.2165861e-07,6.1175632e-07,6.0494244e-07,6.0577668e-07,5.8473972e-07,5.8088079e-07,5.7960432e-07,5.6986147e-07,5.5678782e-07,5.2654775e-07,1.2724853e-07,5.4729799e-08,1.2666959e-07,1.4981904e-07,1.8266782e-07,1.8611057e-07,2.7926291e-07,3.4339351e-07,3.7033851e-07,9.9775605e-07,3.1704215e-07,2.8164371e-07,1.6404728e-07,1.9568502e-07,1.7238042e-07,1.3741908e-07,7.3927801e-08,8.9807081e-08,7.1493105e-08,3.4521143e-08,3.8894292e-08,2.0082171e-08,1.6958223e-08,-8.6809582e-09,-1.7638772e-08,-2.3469118e-08,-2.5163713e-08,-2.9929382e-08,-2.9526944e-08,-3.4623593e-08,-2.6502899e-08,-2.8397215e-08,-2.1568200e-08,-2.0106723e-08,-2.1301604e-08,-8.0231196e-08,-8.2664165e-08,-7.8704730e-08,-8.0594660e-08,-8.0469491e-08,-1.3283029e-07,-1.5671370e-07,-1.8010620e-07,-1.9963136e-07,-7.6126759e-07,-1.4397712e-07,-1.3105478e-07,-5.6189883e-08,-6.9384186e-08,-5.8070210e-08,-6.1103059e-08,-1.8944718e-08,-6.6545951e-08,-5.7145350e-08,-4.1925283e-08,-4.0479883e-08,-3.3918116e-08,-4.6247258e-08,-1.0792244e-08,-6.5120331e-09,-6.5549330e-09,3.6838368e-09,4.0986903e-09,3.1469947e-09,1.9897319e-08,2.2656877e-08,1.9025816e-08,2.7394801e-08,4.0120543e-08,7.3234595e-08
.75,.029657342,.02018949,7.7474789e-07,8.5810314e-07,7.4496262e-07,7.5836749e-07,7.4200960e-07,7.7454837e-07,7.8097776e-07,7.8753152e-07,8.5924165e-07,8.1608135e-07,1.2142923e-06,7.9292710e-07,7.7596661e-07,7.4073989e-07,7.2199936e-07,7.0652095e-07,6.9221534e-07,6.9685058e-07,6.9490551e-07,6.5529991e-07,6.6453543e-07,6.5842403e-07,6.6022994e-07,6.2466802e-07,6.3027255e-07,6.1771857e-07,6.0348867e-07,6.0111137e-07,6.0080578e-07,5.7420067e-07,5.7284859e-07,5.7410779e-07,5.6039278e-07,5.4968160e-07,5.1871348e-07,1.4585547e-07,1.7552682e-07,1.2823625e-07,1.4357374e-07,1.8656354e-07,1.6480240e-07,2.6583027e-07,2.8542871e-07,3.8670353e-07,3.1704215e-07,8.6293130e-07,3.1154906e-07,2.9684651e-07,2.6030770e-07,2.2840075e-07,1.7014702e-07,1.3736627e-07,9.4069293e-08,7.7663991e-08,2.3417861e-08,4.3725880e-08,1.7561826e-08,1.4344865e-08,-7.3598505e-09,-5.9444711e-09,-1.9907263e-08,-2.4394799e-08,-2.5089324e-08,-2.7490822e-08,-3.6933553e-08,-2.8926802e-08,-2.6581070e-08,-2.4467258e-08,-2.0525082e-08,-2.2746333e-08,-1.1702029e-07,-1.9553084e-07,-9.1975977e-08,-9.5378240e-08,-1.0984695e-07,-1.2808714e-07,-1.6733004e-07,-1.6308246e-07,-2.4211192e-07,-1.9919389e-07,-5.9992277e-07,-1.6478495e-07,-1.5757988e-07,-1.0486738e-07,-8.9614687e-08,-7.3268154e-08,-5.8365096e-08,-6.0385688e-08,-5.4722342e-08,-2.4439467e-08,-4.0436575e-08,-3.0824300e-08,-4.2361890e-08,-8.2622824e-09,-1.7397635e-08,-8.9341619e-09,4.8246900e-09,1.3596685e-09,1.1791492e-09,2.3302752e-08,2.4670166e-08,1.7235969e-08,3.0189867e-08,4.0777447e-08,7.5451617e-08
